code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,313254,206716,106538
02,青森県,76307,47256,29051
03,岩手県,88131,50604,37527
04,宮城県,135983,83554,52429
05,秋田県,61725,37115,24610
06,山形県,76158,44796,31362
07,福島県,116110,69717,46393
08,茨城県,168252,103831,64421
09,栃木県,107616,63455,44161
10,群馬県,119790,73969,45821
11,埼玉県,364485,217373,147112
12,千葉県,295847,182851,112996
13,東京都,737513,439082,298431
14,神奈川県,428484,258774,169710
15,新潟県,128275,74293,53982
16,富山県,73119,43375,29744
17,石川県,79148,46070,33078
18,福井県,66285,37429,28856
19,山梨県,46767,29958,16809
20,長野県,119998,72223,47775
21,岐阜県,125702,78639,47063
22,静岡県,182267,111745,70522
23,愛知県,416914,245761,171153
24,三重県,110218,65128,45090
25,滋賀県,78779,46622,32157
26,京都府,152986,91588,61398
27,大阪府,418547,261035,157512
28,兵庫県,263532,164233,99299
29,奈良県,92181,54540,37641
30,和歌山県,68056,39834,28222
31,鳥取県,35878,20393,15485
32,島根県,50968,31669,19299
33,岡山県,131821,84431,47390
34,広島県,184372,110281,74091
35,山口県,116127,66468,49659
36,徳島県,69163,39894,29269
37,香川県,66027,39215,26812
38,愛媛県,108831,62309,46522
39,高知県,59009,33314,25695
40,福岡県,316496,204875,111621
41,佐賀県,78401,46010,32391
42,長崎県,108142,63593,44549
43,熊本県,138813,85298,53515
44,大分県,92633,53021,39612
45,宮崎県,76858,45941,30917
46,鹿児島県,128823,76134,52689
