code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,518444,288261,230183
02,青森県,109811,60309,49502
03,岩手県,116700,63542,53158
04,宮城県,219448,131598,87850
05,秋田県,88972,49178,39794
06,山形県,100127,53942,46185
07,福島県,168401,93105,75296
08,茨城県,234994,131033,103961
09,栃木県,140311,77455,62856
10,群馬県,169400,94374,75026
11,埼玉県,504881,278469,226412
12,千葉県,438976,246606,192370
13,東京都,994909,548036,446873
14,神奈川県,632546,346183,286363
15,新潟県,183180,104531,78649
16,富山県,96057,51826,44231
17,石川県,109512,60602,48910
18,福井県,85166,44945,40221
19,山梨県,67669,37195,30474
20,長野県,163270,88915,74355
21,岐阜県,180966,96278,84688
22,静岡県,265118,148385,116733
23,愛知県,554631,306798,247833
24,三重県,152362,81526,70836
25,滋賀県,103400,56116,47284
26,京都府,220728,121810,98918
27,大阪府,642062,360286,281776
28,兵庫県,427726,236228,191498
29,奈良県,122816,66222,56594
30,和歌山県,88705,48116,40589
31,鳥取県,55866,30786,25080
32,島根県,69112,37736,31376
33,岡山県,203212,113583,89629
34,広島県,255391,142529,112862
35,山口県,151052,82396,68656
36,徳島県,89232,47824,41408
37,香川県,88652,48383,40269
38,愛媛県,140763,76706,64057
39,高知県,74857,39972,34885
40,福岡県,457320,250988,206332
41,佐賀県,103260,55429,47831
42,長崎県,139517,74673,64844
43,熊本県,211081,110650,100431
44,大分県,121597,64218,57379
45,宮崎県,103383,56067,47316
46,鹿児島県,177362,98225,79137
