code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,266698,174981,91717
02,青森県,66790,40638,26152
03,岩手県,77013,46590,30423
04,宮城県,120307,75248,45059
05,秋田県,55608,31983,23625
06,山形県,63341,38741,24600
07,福島県,98596,62448,36148
08,茨城県,146926,92277,54649
09,栃木県,96906,58072,38834
10,群馬県,102904,63057,39847
11,埼玉県,321138,197042,124096
12,千葉県,257328,160839,96489
13,東京都,631930,386025,245905
14,神奈川県,361283,229503,131780
15,新潟県,115754,66971,48783
16,富山県,64935,38495,26440
17,石川県,71619,41724,29895
18,福井県,60354,36322,24032
19,山梨県,41628,26774,14854
20,長野県,107948,65573,42375
21,岐阜県,108707,67526,41181
22,静岡県,166156,104286,61870
23,愛知県,370613,226345,144268
24,三重県,98674,59471,39203
25,滋賀県,71126,42724,28402
26,京都府,133450,80917,52533
27,大阪府,370588,232809,137779
28,兵庫県,233097,149314,83783
29,奈良県,76903,48009,28894
30,和歌山県,60009,35328,24681
31,鳥取県,33960,19495,14465
32,島根県,45369,27862,17507
33,岡山県,114049,72730,41319
34,広島県,164780,99244,65536
35,山口県,98275,59625,38650
36,徳島県,63095,37554,25541
37,香川県,56359,33520,22839
38,愛媛県,96821,55591,41230
39,高知県,52787,30463,22324
40,福岡県,256482,165794,90688
41,佐賀県,70249,41439,28810
42,長崎県,96251,57758,38493
43,熊本県,124767,78330,46437
44,大分県,81850,47980,33870
45,宮崎県,68087,39725,28362
46,鹿児島県,117499,70529,46970
