code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,298934,269897,29037
02,青森県,112266,98633,13633
03,岩手県,99318,84545,14773
04,宮城県,146035,132300,13735
05,秋田県,93447,74642,18805
06,山形県,126032,104738,21294
07,福島県,195270,172266,23004
08,茨城県,175233,158121,17112
09,栃木県,91682,80391,11291
10,群馬県,150695,136830,13865
11,埼玉県,411279,383748,27531
12,千葉県,372088,345142,26946
13,東京都,865691,801060,64631
14,神奈川県,435591,406658,28933
15,新潟県,190381,166804,23577
16,富山県,78639,75122,3517
17,石川県,129070,112545,16525
18,福井県,78034,68773,9261
19,山梨県,68097,57202,10895
20,長野県,171292,150117,21175
21,岐阜県,194529,176386,18143
22,静岡県,202452,185330,17122
23,愛知県,554063,499976,54087
24,三重県,129697,116237,13460
25,滋賀県,111323,97980,13343
26,京都府,206971,193549,13422
27,大阪府,519719,478543,41176
28,兵庫県,287013,260942,26071
29,奈良県,84519,73950,10569
30,和歌山県,144987,114653,30334
31,鳥取県,74446,62650,11796
32,島根県,66515,57217,9298
33,岡山県,207159,200415,6744
34,広島県,169357,150805,18552
35,山口県,193313,163305,30008
36,徳島県,77797,67102,10695
37,香川県,95317,75382,19935
38,愛媛県,93017,82452,10565
39,高知県,92292,82744,9548
40,福岡県,365977,348485,17492
41,佐賀県,99359,87342,12017
42,長崎県,102017,89848,12169
43,熊本県,178182,161507,16675
44,大分県,107650,92906,14744
45,宮崎県,133635,116246,17389
46,鹿児島県,134644,113685,20959
