code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,511938,434141,77797
02,青森県,173630,139989,33641
03,岩手県,148816,119281,29535
04,宮城県,214775,191552,23223
05,秋田県,129826,92614,37212
06,山形県,191839,154847,36992
07,福島県,300951,250915,50036
08,茨城県,280640,242468,38172
09,栃木県,169329,143668,25661
10,群馬県,238923,204887,34036
11,埼玉県,709007,623122,85885
12,千葉県,672747,592233,80514
13,東京都,1339104,1148562,190542
14,神奈川県,859331,743069,116262
15,新潟県,304005,253738,50267
16,富山県,135944,119117,16827
17,石川県,191569,156964,34605
18,福井県,116004,94854,21150
19,山梨県,100104,80886,19218
20,長野県,273780,223221,50559
21,岐阜県,313617,274456,39161
22,静岡県,343232,289872,53360
23,愛知県,926402,814340,112062
24,三重県,222732,190930,31802
25,滋賀県,171220,137305,33915
26,京都府,322150,271772,50378
27,大阪府,843191,734400,108791
28,兵庫県,479007,401544,77463
29,奈良県,159441,132566,26875
30,和歌山県,200276,145024,55252
31,鳥取県,107670,85591,22079
32,島根県,103160,88279,14881
33,岡山県,315135,272955,42180
34,広島県,278378,238281,40097
35,山口県,285750,217897,67853
36,徳島県,117282,97036,20246
37,香川県,150788,120424,30364
38,愛媛県,156328,135785,20543
39,高知県,115994,98686,17308
40,福岡県,598393,536124,62269
41,佐賀県,151724,125014,26710
42,長崎県,171572,148288,23284
43,熊本県,270426,234512,35914
44,大分県,171304,140995,30309
45,宮崎県,193149,156664,36485
46,鹿児島県,215276,172442,42834
