code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,28860,27725,1135
02,青森県,16303,14667,1636
03,岩手県,15658,13749,1909
04,宮城県,16459,16203,256
05,秋田県,19622,18229,1393
06,山形県,22881,20408,2473
07,福島県,22831,22023,808
08,茨城県,18825,18547,278
09,栃木県,14102,13728,374
10,群馬県,18385,16846,1539
11,埼玉県,29226,28389,837
12,千葉県,25986,25425,561
13,東京都,74841,72080,2761
14,神奈川県,32672,28913,3759
15,新潟県,23874,21668,2206
16,富山県,3646,2966,680
17,石川県,20847,17447,3400
18,福井県,11003,9788,1215
19,山梨県,10883,9260,1623
20,長野県,23749,22248,1501
21,岐阜県,20143,18954,1189
22,静岡県,18246,17722,524
23,愛知県,57405,55296,2109
24,三重県,12264,11582,682
25,滋賀県,19336,18598,738
26,京都府,12380,11696,684
27,大阪府,43549,40943,2606
28,兵庫県,25217,23688,1529
29,奈良県,13725,12575,1150
30,和歌山県,32088,29270,2818
31,鳥取県,12874,11010,1864
32,島根県,9694,8891,803
33,岡山県,7204,6330,874
34,広島県,21396,18818,2578
35,山口県,33131,30540,2591
36,徳島県,11298,10379,919
37,香川県,17414,15070,2344
38,愛媛県,7475,7052,423
39,高知県,21852,20721,1131
40,福岡県,21929,20087,1842
41,佐賀県,14126,12680,1446
42,長崎県,12265,10969,1296
43,熊本県,17603,16908,695
44,大分県,13857,12343,1514
45,宮崎県,19253,17744,1509
46,鹿児島県,22161,21077,1084
